Year,FarmID,Date,Week,Male_SWD,Female_SWD,Total_SWD,Drosophilids,Similar
2015,B,08/07/2015,28,0,0,0,71,1
2015,B,08/07/2015,28,0,0,0,114,1
2015,B,08/07/2015,28,0,0,0,181,2
2015,C,10/07/2015,28,0,0,0,11,0
2015,C,10/07/2015,28,0,0,0,63,2
2015,C,10/07/2015,28,0,0,0,4,0
2015,C,10/07/2015,28,0,0,0,3,0
2015,C,10/07/2015,28,0,0,0,2,1
2015,C,10/07/2015,28,0,0,0,4,0
2015,D,07/07/2015,28,0,0,0,3,0
2015,D,07/07/2015,28,0,0,0,7,0
2015,D,07/07/2015,28,0,0,0,6,0
2015,D,07/07/2015,28,0,0,0,6,0
2015,D,07/07/2015,28,0,0,0,5,3
2015,D,07/07/2015,28,0,0,0,2,0
2015,Z,10/07/2015,28,0,0,0,-,-
2015,Z,10/07/2015,28,0,0,0,15,0
2015,Z,10/07/2015,28,0,0,0,9,2
2015,A,15/07/2015,29,0,0,0,143,1
2015,A,15/07/2015,29,1,1,2,176,1
2015,A,15/07/2015,29,0,1,1,52,2
2015,A,15/07/2015,29,1,0,1,71,1
2015,A,15/07/2015,29,0,0,0,33,0
2015,A,15/07/2015,29,1,0,1,111,5
2015,A,15/07/2015,29,0,0,0,110,6
2015,A,15/07/2015,29,0,0,0,90,0
2015,A,15/07/2015,29,1,0,1,37,1
2015,A,15/07/2015,29,0,0,0,49,3
2015,D,14/07/2015,29,0,0,0,6,0
2015,D,14/07/2015,29,0,0,0,3,0
2015,D,14/07/2015,29,0,0,0,4,1
2015,D,14/07/2015,29,0,0,0,2,0
2015,D,14/07/2015,29,0,0,0,1,0
2015,D,14/07/2015,29,0,0,0,0,0
2015,Z,17/07/2015,29,0,0,0,-,-
2015,Z,17/07/2015,29,0,0,0,25,3
2015,Z,17/07/2015,29,0,0,0,9,3
2015,A,21/07/2015,30,0,0,0,3,0
2015,A,21/07/2015,30,0,0,0,0,0
2015,A,21/07/2015,30,0,0,0,27,2
2015,A,21/07/2015,30,0,0,0,7,0
2015,A,21/07/2015,30,0,0,0,27,1
2015,A,21/07/2015,30,0,0,0,60,3
2015,A,21/07/2015,30,0,0,0,1,0
2015,A,21/07/2015,30,0,0,0,0,0
2015,A,21/07/2015,30,1,0,1,22,0
2015,A,21/07/2015,30,0,0,0,49,3
2015,B,22/07/2015,30,0,0,0,1,1
2015,B,22/07/2015,30,0,0,0,3,1
2015,B,22/07/2015,30,0,0,0,3,2
2015,B,22/07/2015,30,0,0,0,17,13
2015,B,22/07/2015,30,0,0,0,2,1
2015,B,22/07/2015,30,0,0,0,10,0
2015,B,22/07/2015,30,0,0,0,11,2
2015,B,22/07/2015,30,0,0,0,3,3
2015,C,24/07/2015,30,0,0,0,77,1
2015,C,24/07/2015,30,0,0,0,130,0
2015,C,24/07/2015,30,0,0,0,3,0
2015,C,24/07/2015,30,0,0,0,9,3
2015,C,24/07/2015,30,0,0,0,2,0
2015,C,24/07/2015,30,0,0,0,0,0
2015,D,21/07/2015,30,0,0,0,5,0
2015,D,21/07/2015,30,0,0,0,1,0
2015,D,21/07/2015,30,0,0,0,1,0
2015,D,21/07/2015,30,0,0,0,1,0
2015,D,21/07/2015,30,0,0,0,0,0
2015,D,21/07/2015,30,0,0,0,0,0
2015,Z,24/07/2015,30,0,0,0,-,-
2015,Z,24/07/2015,30,0,0,0,4,0
2015,Z,24/07/2015,30,0,0,0,3,0
2015,A,29/07/2015,31,0,0,0,84,0
2015,A,29/07/2015,31,0,0,0,50,3
2015,A,29/07/2015,31,0,1,1,26,1
2015,A,29/07/2015,31,0,0,0,59,2
2015,A,29/07/2015,31,0,0,0,25,2
2015,A,29/07/2015,31,1,2,3,110,5
2015,A,29/07/2015,31,1,1,2,132,4
2015,A,29/07/2015,31,0,0,0,90,4
2015,A,29/07/2015,31,1,1,2,30,0
2015,A,29/07/2015,31,0,0,0,15,3
2015,D,28/07/2015,31,0,0,0,6,0
2015,D,28/07/2015,31,0,0,0,1,0
2015,D,28/07/2015,31,0,0,0,0,0
2015,D,28/07/2015,31,0,0,0,1,0
2015,D,28/07/2015,31,0,1,1,4,2
2015,D,28/07/2015,31,0,0,0,3,1
2015,Z,31/07/2015,31,0,0,0, ,0
2015,Z,31/07/2015,31,0,0,0, ,0
2015,Z,31/07/2015,31,0,0,0, ,0
2015,A,04/08/2015,32,0,0,0,128,6
2015,A,04/08/2015,32,0,0,0,104,2
2015,A,04/08/2015,32,0,0,0,64,4
2015,A,04/08/2015,32,0,0,0,187,5
2015,A,04/08/2015,32,0,0,0,78,8
2015,A,04/08/2015,32,1,1,2,153,13
2015,A,04/08/2015,32,0,1,1,317,3
2015,A,04/08/2015,32,1,0,1,91,2
2015,A,04/08/2015,32,2,0,2,81,2
2015,A,04/08/2015,32,1,0,1,86,3
2015,C,04/08/2015,32,0,0,0,157,5
2015,C,04/08/2015,32,0,0,0,199,41
2015,C,04/08/2015,32,0,0,0,11,2
2015,C,04/08/2015,32,0,0,0,50,8
2015,C,04/08/2015,32,0,0,0,12,1
2015,C,04/08/2015,32,0,0,0,5,0
2015,Z,06/08/2015,32,0,0,0,,
2015,Z,06/08/2015,32,0,0,0,12,3
2015,Z,06/08/2015,32,0,0,0,16,3
2015,A,11/08/2015,33,0,0,0,3,0
2015,A,11/08/2015,33,0,0,0,6,1
2015,A,11/08/2015,33,0,0,0,1,0
2015,A,11/08/2015,33,0,0,0,2,1
2015,A,11/08/2015,33,0,0,0,0,0
2015,A,11/08/2015,33,0,0,0,6,1
2015,A,11/08/2015,33,0,0,0,0,0
2015,A,11/08/2015,33,0,0,0,7,1
2015,A,11/08/2015,33,0,0,0,5,0
2015,A,11/08/2015,33,0,0,0,6,0
2015,B,10/08/2015,33,0,0,0,31,2
2015,B,10/08/2015,33,0,0,0,6,6
2015,B,10/08/2015,33,0,0,0,16,15
2015,B,10/08/2015,33,0,0,0,14,13
2015,B,10/08/2015,33,0,0,0,4,1
2015,B,10/08/2015,33,0,0,0,1,0
2015,B,10/08/2015,33,0,0,0,13,2
2015,B,10/08/2015,33,0,0,0,1,0
2015,C,11/08/2015,33,0,0,0,47,0
2015,C,11/08/2015,33,0,0,0,58,2
2015,C,11/08/2015,33,0,0,0,9,2
2015,C,11/08/2015,33,0,0,0,28,0
2015,C,11/08/2015,33,0,0,0,6,1
2015,C,11/08/2015,33,0,0,0,5,0
2015,D,10/08/2015,33,0,0,0,60,0
2015,D,10/08/2015,33,0,0,0,38,0
2015,D,10/08/2015,33,0,0,0,3,0
2015,D,10/08/2015,33,0,0,0,11,2
2015,D,10/08/2015,33,0,0,0,6,1
2015,D,10/08/2015,33,0,0,0,3,1
2015,Z,14/08/2015,33,0,0,0,,
2015,Z,14/08/2015,33,0,0,0,53,10
2015,Z,14/08/2015,33,0,0,0,34,15
2015,B,22/08/2015,34,0,0,0,7,6
2015,B,22/08/2015,34,0,0,0,0,0
2015,B,22/08/2015,34,0,0,0,5,2
2015,B,22/08/2015,34,0,0,0,0,0
2015,B,22/08/2015,34,0,0,0,5,0
2015,B,22/08/2015,34,0,0,0,6,0
2015,B,22/08/2015,34,0,0,0,13,1
2015,B,22/08/2015,34,0,0,0,2,0
2015,D,17/08/2015,34,0,0,0,0,0
2015,D,17/08/2015,34,0,0,0,0,0
2015,D,17/08/2015,34,0,0,0,0,0
2015,D,17/08/2015,34,0,0,0,5,0
2015,D,17/08/2015,34,0,0,0,0,0
2015,Z,21/08/2015,34,0,0,0,,
2015,Z,21/08/2015,34,0,0,0,66,9
2015,Z,21/08/2015,34,0,0,0,57,20
2015,C,25/08/2015,35,0,0,0,3,3
2015,C,25/08/2015,35,0,0,0,3,3
2015,C,25/08/2015,35,0,0,0,3,0
2015,C,25/08/2015,35,0,0,0,0,0
2015,C,25/08/2015,35,0,0,0,0,0
2015,C,25/08/2015,35,0,0,0,3,0
2015,D,24/08/2015,35,0,0,0,5,0
2015,D,24/08/2015,35,0,0,0,0,0
2015,D,24/08/2015,35,0,0,0,0,0
2015,D,24/08/2015,35,0,0,0,0,0
2015,D,24/08/2015,35,0,0,0,2,2
2015,D,24/08/2015,35,0,0,0,0,0
2015,Z,28/08/2015,35,0,0,0,,
2015,Z,28/08/2015,35,0,0,0,9,2
2015,Z,28/08/2015,35,0,0,0,6,0
2015,B,02/09/2015,36,0,0,0,8,6
2015,B,02/09/2015,36,0,0,0,4,1
2015,B,02/09/2015,36,0,0,0,2,1
2015,B,02/09/2015,36,0,0,0,8,4
2015,B,02/09/2015,36,0,0,0,2,0
2015,B,02/09/2015,36,0,0,0,8,1
2015,B,02/09/2015,36,0,0,0,5,1
2015,B,02/09/2015,36,0,0,0,0,0
2015,D,31/08/2015,36,0,0,0,11,6
2015,D,31/08/2015,36,0,0,0,2,0
2015,D,31/08/2015,36,0,0,0,4,4
2015,D,31/08/2015,36,0,0,0,2,2
2015,D,31/08/2015,36,0,0,0,1,1
2015,D,31/08/2015,36,0,0,0,0,0
2015,Z,04/09/2015,36,0,0,0,,
2015,Z,04/09/2015,36,0,0,0,1,0
2015,Z,04/09/2015,36,0,0,0,5,0
2015,D,07/09/2015,37,0,0,0,13,13
2015,D,07/09/2015,37,0,0,0,1,1
2015,D,07/09/2015,37,0,0,0,1,0
2015,D,07/09/2015,37,0,0,0,0,0
2015,D,07/09/2015,37,0,0,0,0,0
2015,D,07/09/2015,37,0,0,0,1,1
2015,Z,11/09/2015,37,0,0,0,,
2015,Z,11/09/2015,37,0,0,0,3,0
2015,Z,11/09/2015,37,0,0,0,2,2
2015,B,17/09/2015,38,0,0,0,68,52
2015,B,17/09/2015,38,0,0,0,29,3
2015,B,17/09/2015,38,0,0,0,14,4
2015,B,17/09/2015,38,0,0,0,26,8
2015,B,17/09/2015,38,0,0,0,28,1
2015,B,17/09/2015,38,0,0,0,71,1
2015,B,17/09/2015,38,0,0,0,0,0
2015,B,17/09/2015,38,0,0,0,121,3
2015,D,14/09/2015,38,0,0,0,89,31
2015,D,14/09/2015,38,0,0,0,18,5
2015,D,14/09/2015,38,0,0,0,12,5
2015,D,14/09/2015,38,0,0,0,10,3
2015,D,14/09/2015,38,0,0,0,9,5
2015,D,14/09/2015,38,0,0,0,3,9
2015,A,05/10/2015,41,0,0,0,1,0
2015,A,05/10/2015,41,0,0,0,1,0
2015,A,05/10/2015,41,0,0,0,44,2
2015,A,05/10/2015,41,0,0,0,15,2
2015,A,05/10/2015,41,0,0,0,7,0
2015,A,05/10/2015,41,0,1,1,82,0
2015,A,05/10/2015,41,0,0,0,6,0
2015,A,05/10/2015,41,0,0,0,70,4
2015,A,05/10/2015,41,0,0,0,24,4
2015,A,05/10/2015,41,0,0,0,20,1
2015,A,12/10/2015,42,3,0,3,106,3
2015,A,12/10/2015,42,9,1,10,42,1
2015,A,12/10/2015,42,0,1,1,28,2
2015,A,12/10/2015,42,4,1,5,29,3
2015,A,12/10/2015,42,4,1,5,20,2
2015,A,12/10/2015,42,9,7,16,314,37
2015,A,12/10/2015,42,29,7,36,329,21
2015,A,12/10/2015,42,2,2,4,115,0
2015,A,12/10/2015,42,4,3,7,38,9
2015,A,12/10/2015,42,0,0,0,5,0
2015,A,19/10/2015,43,2,2,4,108,4
2015,A,19/10/2015,43,1,1,2,82,0
2015,A,19/10/2015,43,4,0,4,29,5
2015,A,19/10/2015,43,3,1,4,41,2
2015,A,19/10/2015,43,2,0,2,63,18
2015,A,19/10/2015,43,2,2,4,385,43
2015,A,19/10/2015,43,19,15,34,194,44
2015,A,19/10/2015,43,3,1,4,84,7
2015,A,19/10/2015,43,2,1,3,17,2
2015,A,19/10/2015,43,1,0,1,7,3
2015,A,26/10/2015,44,6,0,6,89,3
2015,A,26/10/2015,44,0,4,4,97,4
2015,A,26/10/2015,44,0,1,1,6,0
2015,A,26/10/2015,44,1,0,1,36,4
2015,A,26/10/2015,44,1,0,1,11,2
2015,A,26/10/2015,44,0,2,2,107,13
2015,A,26/10/2015,44,15,18,33,129,19
2015,A,26/10/2015,44,2,3,5,87,0
2015,A,26/10/2015,44,3,2,5,23,2
2015,A,26/10/2015,44,1,0,1,18,4
2015,A,02/11/2015,45,10,1,11,345,12
2015,A,02/11/2015,45,1,0,1,28,2
2015,A,02/11/2015,45,0,0,0,4,1
2015,A,02/11/2015,45,4,3,7,44,2
2015,A,02/11/2015,45,1,1,2,64,1
2015,A,02/11/2015,45,3,3,6,51,8
2015,A,02/11/2015,45,72,53,125,164,19
2015,A,02/11/2015,45,2,1,3,50,5
2015,A,02/11/2015,45,4,4,8,12,1
2015,A,02/11/2015,45,1,0,1,8,2
2015,A,09/11/2015,46,8,0,8,135,7
2015,A,09/11/2015,46,5,0,5,70,0
2015,A,09/11/2015,46,1,0,1,6,0
2015,A,09/11/2015,46,6,0,6,29,7
2015,A,09/11/2015,46,3,0,3,8,12
2015,A,09/11/2015,46,9,2,11,52,5
2015,A,09/11/2015,46,22,11,33,67,19
2015,A,09/11/2015,46,2,0,2,18,3
2015,A,09/11/2015,46,5,2,7,14,2
2015,A,09/11/2015,46,0,0,0,11,0
2015,A,16/11/2015,47,3,0,3,62,2
2015,A,16/11/2015,47,2,3,5,66,3
2015,A,16/11/2015,47,1,0,1,2,0
2015,A,16/11/2015,47,1,0,1,18,1
2015,A,16/11/2015,47,1,0,1,24,5
2015,A,16/11/2015,47,0,1,1,21,0
2015,A,16/11/2015,47,11,3,14,37,3
2015,A,16/11/2015,47,0,0,0,1,0
2015,A,16/11/2015,47,2,0,2,15,1
2015,A,16/11/2015,47,0,0,0,7,0
2015,A,02/12/2015,49,0,0,0,113,0
2015,A,02/12/2015,49,3,2,5,150,1
2015,A,02/12/2015,49,1,0,1,1,0
2015,A,02/12/2015,49,3,0,3,16,0
2015,A,02/12/2015,49,0,0,0,7,1
2015,A,02/12/2015,49,2,0,2,40,1
2015,A,02/12/2015,49,2,1,3,30,3
2015,A,02/12/2015,49,0,2,2,16,0
2015,A,02/12/2015,49,3,2,5,15,0
2015,A,02/12/2015,49,0,0,0,8,0
2015,A,08/12/2015,50,0,0,0,18,1
2015,A,08/12/2015,50,0,0,0,24,1
2015,A,08/12/2015,50,1,0,1,5,0
2015,A,08/12/2015,50,2,0,2,48,1
2015,A,08/12/2015,50,2,1,3,70,1
2015,A,08/12/2015,50,0,0,0,69,2
2015,A,08/12/2015,50,0,0,0,18,1
2015,A,08/12/2015,50,0,0,0,1,0
2015,A,08/12/2015,50,4,4,8,18,0
2015,A,08/12/2015,50,0,0,0,16,0
2015,A,15/12/2015,51,0,0,0,15,0
2015,A,15/12/2015,51,0,0,0,20,0
2015,A,15/12/2015,51,2,0,2,5,0
2015,A,15/12/2015,51,1,0,1,14,0
2015,A,15/12/2015,51,0,0,0,13,0
2015,A,15/12/2015,51,0,0,0,30,0
2015,A,15/12/2015,51,4,1,5,39,1
2015,A,15/12/2015,51,3,2,5,37,0
